Fluor,Target,Sample,Rep,Cq
FAM,,"Bd+FV3 10_2,2",1,37.17537527
FAM,,"Bd+FV3 10_1,1",1,38.63276856
FAM,,NTC,1,#NUM!
FAM,,10010311,1,#NUM!
FAM,,10010311,2,#NUM!
FAM,,10013C,1,#NUM!
FAM,,10013C,2,25.79370981
FAM,,10010309,1,#NUM!
FAM,,10010309,2,#NUM!
FAM,,10010306,1,#NUM!
FAM,,10010306,2,#NUM!
FAM,,"Bd+FV3 10_5,5",2,26.50506614
FAM,,"Bd+FV3 10_2,2",2,36.3932535
FAM,,"Bd+FV3 10_1,1",2,36.91751214
FAM,,NTC,2,#NUM!
HEX,,08020102,1,#NUM!
HEX,,08020102,2,#NUM!
HEX,,08020106,1,#NUM!
HEX,,08020106,2,#NUM!
HEX,,08020111,1,#NUM!
HEX,,08020111,2,#NUM!
HEX,,08020104,1,#NUM!
HEX,,08020104,2,#NUM!
HEX,,10020306,1,#NUM!
HEX,,10020306,2,#NUM!
HEX,,10010307,1,#NUM!
HEX,,10010307,2,#NUM!
HEX,,08020109,1,#NUM!
HEX,,08020109,2,#NUM!
HEX,,08020107,1,#NUM!
HEX,,08020107,2,#NUM!
HEX,,080101C,1,#NUM!
HEX,,080101C,2,#NUM!
HEX,,08010104,1,#NUM!
HEX,,08010104,2,#NUM!
HEX,,10010305,1,39.02631284
HEX,,10010305,2,#NUM!
HEX,,1003010,1,#NUM!
HEX,,1003010,2,#NUM!
HEX,,05020302,1,#NUM!
HEX,,05020302,2,#NUM!
HEX,,05020308,1,#NUM!
HEX,,05020308,2,#NUM!
HEX,,05020301,1,#NUM!
HEX,,05020301,2,#NUM!
HEX,,08020310,1,#NUM!
HEX,,08020310,2,#NUM!
HEX,,10020304,1,#NUM!
HEX,,10020304,2,#NUM!
HEX,,09030307,1,#NUM!
HEX,,09030307,2,#NUM!
HEX,,07010111,1,#NUM!
HEX,,07010111,2,#NUM!
HEX,,07010101,1,#NUM!
HEX,,07010101,2,#NUM!
HEX,,07010105,1,#NUM!
HEX,,07010105,2,#NUM!
HEX,,07010102,1,#NUM!
HEX,,07010102,2,#NUM!
HEX,,10010304,1,#NUM!
HEX,,10010304,2,#NUM!
HEX,,09010308,1,#NUM!
HEX,,09010308,2,#NUM!
HEX,,07010107,1,#NUM!
HEX,,07010107,2,#NUM!
HEX,,07010106,1,#NUM!
HEX,,07010106,2,#NUM!
HEX,,07020110,1,#NUM!
HEX,,07020110,2,#NUM!
HEX,,07020108,1,#NUM!
HEX,,07020108,2,#NUM!
HEX,,10020303,1,#NUM!
HEX,,10020303,2,#NUM!
HEX,,09020304,1,#NUM!
HEX,,09020304,2,#NUM!
HEX,,07020105,1,#NUM!
HEX,,07020105,2,#NUM!
HEX,,07020101,1,#NUM!
HEX,,07020101,2,#NUM!
HEX,,120203C,1,#NUM!
HEX,,120203C,2,#NUM!
HEX,,10020311,1,#NUM!
HEX,,10020311,2,#NUM!
HEX,,10010312,1,#NUM!
HEX,,10010312,2,#NUM!
HEX,,11010305,1,#NUM!
HEX,,11010305,2,#NUM!
HEX,,10020308,1,#NUM!
HEX,,10020308,2,#NUM!
HEX,,10020301,1,#NUM!
HEX,,10020301,2,#NUM!
HEX,,10020312,1,#NUM!
HEX,,10020312,2,#NUM!
HEX,,10020307,1,42.06015368
HEX,,10020307,2,#NUM!
HEX,,"Bd+FV3 10_5,5",1,26.11099649
HEX,,"Bd+FV3 10_2,2",1,36.34393827
HEX,,"Bd+FV3 10_1,1",1,37.56187647
HEX,,NTC,1,#NUM!
HEX,,10010311,1,#NUM!
HEX,,10010311,2,#NUM!
HEX,,10013C,1,#NUM!
HEX,,10013C,2,#NUM!
HEX,,10010309,1,#NUM!
HEX,,10010309,2,#NUM!
HEX,,10010306,1,#NUM!
HEX,,10010306,2,#NUM!
HEX,,"Bd+FV3 10_5,5",2,26.2050518
HEX,,"Bd+FV3 10_2,2",2,36.11774353
HEX,,"Bd+FV3 10_1,1",2,35.55620755
HEX,,NTC,2,#NUM!
FAM,,10030301,1,#NUM!
FAM,,10030301,2,#NUM!
FAM,,10030307,1,#NUM!
FAM,,10030307,2,#NUM!
FAM,,10030303,1,#NUM!
FAM,,10030303,2,#NUM!
FAM,,10030311,1,#NUM!
FAM,,10030311,2,38.64410066
FAM,,10030312,1,#NUM!
FAM,,10030312,2,#NUM!
FAM,,10030304,1,#NUM!
FAM,,10030304,2,#NUM!
FAM,,10030305,1,#NUM!
FAM,,10030305,2,#NUM!
FAM,,09030306,1,37.91935559
FAM,,09030306,2,36.06224728
FAM,,09030313,1,#NUM!
FAM,,09030313,2,#NUM!
FAM,,09030305,1,37.65298238
FAM,,09030305,2,36.63669688
FAM,,09030302,1,#NUM!
FAM,,09030302,2,#NUM!
FAM,,09030304,1,#NUM!
FAM,,09030304,2,#NUM!
FAM,,090308,1,#NUM!
FAM,,090308,2,#NUM!
FAM,,090303C,1,#NUM!
FAM,,090303C,2,#NUM!
FAM,,09030303,1,#NUM!
