Well,Fluor,Target,Sample,Rep,Cq
E08,FAM,,'02-41,2,45
E09,FAM,,'02-49,1,45
E10,FAM,,'02-49,2,45
E11,FAM,,'02-57,1,45
E12,FAM,,'02-57,2,45
F01,FAM,,'02-16,1,45
F02,FAM,,'02-16,2,45
F03,FAM,,'02-24,1,45
F04,FAM,,'02-24,2,45
F05,FAM,,'02-32,1,45
F06,FAM,,'02-32,2,45
F07,FAM,,'02-40,1,45
F08,FAM,,'02-40,2,45
F09,FAM,,'02-48,1,45
F10,FAM,,'02-48,2,45
F11,FAM,,'02-56,1,45
F12,FAM,,'02-56,2,45
G01,FAM,,"Bd+FV3 10_9,9",1,7.952218175
G02,FAM,,"Bd+FV3 10_8,8",1,12.76142315
G03,FAM,,"Bd+FV3 10_7,7",1,16.73765556
G04,FAM,,"Bd+FV3 10_6,6",1,20.4818495
G05,FAM,,"Bd+FV3 10_5,5",1,23.7869688
G06,FAM,,"Bd+FV3 10_4,4",1,27.21786582
G07,FAM,,"Bd+FV3 10_3,3",1,30.67348211
G08,FAM,,"Bd+FV3 10_2,2",1,34.4465439
G09,FAM,,"Bd+FV3 10_1,1",1,37.03638399
G10,FAM,,"Bd+FV3 10_0,0",1,45
G11,FAM,,NTC,1,45
G12,FAM,,Blank,1,45
H01,FAM,,"Bd+FV3 10_9,9",2,8.605671275
H02,FAM,,"Bd+FV3 10_8,8",2,12.31442453
H03,FAM,,"Bd+FV3 10_7,7",2,16.64785887
H04,FAM,,"Bd+FV3 10_6,6",2,20.54274385
H05,FAM,,"Bd+FV3 10_5,5",2,23.70102578
H06,FAM,,"Bd+FV3 10_4,4",2,27.55263841
H07,FAM,,"Bd+FV3 10_3,3",2,30.88460996
H08,FAM,,"Bd+FV3 10_2,2",2,34.25975002
H09,FAM,,"Bd+FV3 10_1,1",2,37.24188084
H10,FAM,,"Bd+FV3 10_0,0",2,45
H11,FAM,,NTC,2,45
H12,FAM,,Blank,2,45
A01,HEX,,'01-02,1,45
A02,HEX,,'01-02,2,45
A03,HEX,,'01-10,1,45
A04,HEX,,'01-10,2,45
A05,HEX,,'01-18,1,45
A06,HEX,,'01-18,2,45
A07,HEX,,'01-26,1,45
A08,HEX,,'01-26,2,45
A09,HEX,,'01-34,1,45
A10,HEX,,'01-34,2,45
A11,HEX,,'01-42,1,45
A12,HEX,,'01-42,2,45
B01,HEX,,'01-01,1,45
B02,HEX,,'01-01,2,45
B03,HEX,,'01-09,1,45
B04,HEX,,'01-09,2,45
B05,HEX,,'01-17,1,45
B06,HEX,,'01-17,2,45
B07,HEX,,'01-25,1,45
B08,HEX,,'01-25,2,45
B09,HEX,,'01-33,1,45
B10,HEX,,'01-33,2,45
B11,HEX,,'01-41,1,45
B12,HEX,,'01-41,2,45
C01,HEX,,'01-50,1,45
C02,HEX,,'01-50,2,45
C03,HEX,,'01-58,1,45
C04,HEX,,'01-58,2,45
C05,HEX,,'01-66,1,45
C06,HEX,,'01-66,2,45
C07,HEX,,'01-74,1,45
C08,HEX,,'01-74,2,45
C09,HEX,,'02-01,1,45
C10,HEX,,'02-01,2,45
C11,HEX,,'02-09,1,45
C12,HEX,,'02-09,2,45
D01,HEX,,'01-49,1,45
D02,HEX,,'01-49,2,45
D03,HEX,,'01-57,1,45
D04,HEX,,'01-57,2,45
D05,HEX,,'01-65,1,45
D06,HEX,,'01-65,2,45
D07,HEX,,'01-73,1,45
D08,HEX,,'01-73,2,45
D09,HEX,,'01-81,1,45
D10,HEX,,'01-81,2,45
D11,HEX,,'02-08,1,45
D12,HEX,,'02-08,2,45
E01,HEX,,'02-17,1,45
E02,HEX,,'02-17,2,45
E03,HEX,,'02-25,1,45
E04,HEX,,'02-25,2,45
E05,HEX,,'02-33,1,45
E06,HEX,,'02-33,2,45
E07,HEX,,'02-41,1,45
E08,HEX,,'02-41,2,45
E09,HEX,,'02-49,1,45
E10,HEX,,'02-49,2,45
E11,HEX,,'02-57,1,45
E12,HEX,,'02-57,2,45
F01,HEX,,'02-16,1,45
F02,HEX,,'02-16,2,45
F03,HEX,,'02-24,1,45
F04,HEX,,'02-24,2,45
F05,HEX,,'02-32,1,45
F06,HEX,,'02-32,2,45
F07,HEX,,'02-40,1,45
F08,HEX,,'02-40,2,45
F09,HEX,,'02-48,1,45
F10,HEX,,'02-48,2,45
F11,HEX,,'02-56,1,45
F12,HEX,,'02-56,2,45
G01,HEX,,"Bd+FV3 10_9,9",1,8.224927156
G02,HEX,,"Bd+FV3 10_8,8",1,13.19299686
G03,HEX,,"Bd+FV3 10_7,7",1,17.17915177
G04,HEX,,"Bd+FV3 10_6,6",1,20.94553866
G05,HEX,,"Bd+FV3 10_5,5",1,24.08902088
G06,HEX,,"Bd+FV3 10_4,4",1,27.71246083
G07,HEX,,"Bd+FV3 10_3,3",1,30.96623303
G08,HEX,,"Bd+FV3 10_2,2",1,34.58297872
G09,HEX,,"Bd+FV3 10_1,1",1,37.28398777
G10,HEX,,"Bd+FV3 10_0,0",1,45
G11,HEX,,NTC,1,45
G12,HEX,,Blank,1,45
H01,HEX,,"Bd+FV3 10_9,9",2,7.58676962
H02,HEX,,"Bd+FV3 10_8,8",2,12.89078367
H03,HEX,,"Bd+FV3 10_7,7",2,17.1000581
H04,HEX,,"Bd+FV3 10_6,6",2,21.10456429
H05,HEX,,"Bd+FV3 10_5,5",2,24.13597927
H06,HEX,,"Bd+FV3 10_4,4",2,27.6552775
H07,HEX,,"Bd+FV3 10_3,3",2,31.13888638
H08,HEX,,"Bd+FV3 10_2,2",2,34.50697298
H09,HEX,,"Bd+FV3 10_1,1",2,37.23880656
H10,HEX,,"Bd+FV3 10_0,0",2,45
H11,HEX,,NTC,2,45
H12,HEX,,Blank,2,45
A01,FAM,,'02-23,1,36.08990221
A02,FAM,,'02-23,2,36.37814622
A03,FAM,,'02-31,1,37.27925117
A04,FAM,,'02-31,2,37.36282437
A05,FAM,,'02-39,1,45
