LabID,SampleID,BD_Rep1,BD_Rep2,RV_Rep1,RV_Rep2
'09-32,24-10-01-03-09
'09-33,24-10-01-03-10
'09-34,24-10-01-03-11
'09-35,24-10-01-03-12
'09-36,24-10-01-03-C
'09-37,NEG
'09-38,24-10-02-03-01
'09-39,24-10-02-03-02
'09-40,24-10-02-03-03
'09-41,24-10-02-03-04
'09-42,24-10-02-03-05
'09-43,24-10-02-03-06
'09-44,24-10-02-03-07
'09-45,24-10-02-03-08
'09-46,24-10-02-03-09
'09-47,24-10-02-03-10
'09-48,24-10-02-03-11
'09-49,24-10-02-03-12
'09-50,24-10-02-03-C
'09-51,NEG
'09-52,24-10-03-03-01
'09-53,24-10-03-03-02
'09-54,24-10-03-03-03
'09-55,24-10-03-03-04
'09-56,24-10-03-03-05
'09-57,24-10-03-03-06
'09-58,24-10-03-03-07
'09-59,24-10-03-03-08
'09-60,24-10-03-03-09
'09-61,24-10-03-03-10
'09-62,24-10-03-03-11
'09-63,24-10-03-03-12
'09-64,24-10-03-03-C
'09-65,NEG
'09-66,24-11-01-03-01
'09-67,24-11-01-03-02
'09-68,24-11-01-03-03
'09-69,24-11-01-03-04
'09-70,24-11-01-03-05
'09-71,24-11-01-03-06
'09-72,24-11-01-03-07
'09-73,24-11-01-03-08
'09-74,24-11-01-03-09
'09-75,24-11-01-03-10
'09-76,24-11-01-03-11
'09-77,24-11-01-03-12
'09-78,24-11-01-03-C
'09-79,NEG
'09-80,24-11-02-03-01
'09-81,24-11-02-03-02
'10-01,24-11-02-03-03
'10-02,24-11-02-03-04
'10-03,24-11-02-03-05
'10-04,24-11-02-03-06
'10-05,24-11-02-03-07
'10-06,24-11-02-03-08
'10-07,24-11-02-03-09
'10-08,24-11-02-03-10
'10-09,24-11-02-03-11
'10-10,24-11-02-03-12
'10-11,24-11-02-03-C
'10-12,NEG
'10-13,24-11-04-03-01
'10-14,24-11-04-03-02
'10-15,24-11-04-03-03
'10-16,24-11-04-03-04
'10-17,24-11-04-03-05
'10-18,24-11-04-03-06
'10-19,24-11-04-03-07
'10-20,24-11-04-03-08
'10-21,24-11-04-03-09
'10-22,24-11-04-03-10
'10-23,24-11-04-03-11
'10-24,24-11-04-03-12
'10-25,24-11-04-03-C
'10-26,NEG
'10-27,24-12-01-03-01
'10-28,24-12-01-03-02
'10-29,24-12-01-03-03
'10-30,24-12-01-03-04
'10-31,24-12-01-03-05
'10-32,24-12-01-03-06
'10-33,24-12-01-03-07
'10-34,24-12-01-03-08
'10-35,24-12-01-03-09
'10-36,24-12-01-03-10
'10-37,24-12-01-03-11
'10-38,24-12-01-03-12
'10-39,24-12-01-03-C
'10-40,NEG
'10-41,24-12-02-03-02
'10-42,24-12-02-03-03
'10-43,24-12-02-03-04
'10-44,24-12-02-03-05
'10-45,24-12-02-03-06
'10-46,24-12-02-03-07
'10-47,24-12-02-03-08
'10-48,24-12-02-03-09
'10-49,24-12-02-03-10
'10-50,24-12-02-03-11
'10-51,24-12-02-03-12
'10-52,24-12-02-03-13
'10-53,24-12-02-03-C
'10-54,NEG
'10-55,24-12-03-03-01
'10-56,24-12-03-03-02
'10-57,24-12-03-03-03
'10-58,24-12-03-03-04
'10-59,24-12-03-03-05
'10-60,24-12-03-03-06
'10-61,24-12-03-03-07
'10-62,24-12-03-03-08
'10-63,24-12-03-03-09
'10-64,24-12-03-03-10
'10-65,24-12-03-03-11
'10-66,24-12-03-03-12
'10-67,24-12-03-03-C
'10-68,NEG
